K,Dimension,Number of Points,Time,Distribution
3,2,800,3.27455e-05,Gaussian
4,2,800,3.743e-05,Gaussian
5,2,800,4.13024e-05,Gaussian
6,2,800,6.99227e-05,Gaussian
7,2,800,1.52034e-05,Gaussian
8,2,800,1.51326e-05,Gaussian
9,2,800,1.55248e-05,Gaussian
10,2,800,1.47195e-05,Gaussian
11,2,800,1.62187e-05,Gaussian
1,2,1600,1.426e-07,Gaussian
2,2,1600,1.276e-07,Gaussian
3,2,1600,1.32e-07,Gaussian
4,2,1600,1.404e-07,Gaussian
5,2,1600,5.03173e-05,Gaussian
6,2,1600,5.34991e-05,Gaussian
7,2,1600,7.97156e-05,Gaussian
8,2,1600,4.56972e-05,Gaussian
9,2,1600,4.88136e-05,Gaussian
10,2,1600,8.41626e-05,Gaussian
11,2,1600,4.33679e-05,Gaussian
1,2,3200,4.3313e-06,Gaussian
2,2,3200,4.7247e-06,Gaussian
3,2,3200,5.9855e-06,Gaussian
4,2,3200,6.5777e-06,Gaussian
5,2,3200,7.2995e-06,Gaussian
6,2,3200,7.3353e-06,Gaussian
7,2,3200,7.6648e-06,Gaussian
8,2,3200,7.2225e-06,Gaussian
9,2,3200,7.2587e-06,Gaussian
10,2,3200,7.1208e-06,Gaussian
11,2,3200,7.1283e-06,Gaussian
1,2,6400,2.83538e-05,Gaussian
2,2,6400,2.19292e-05,Gaussian
3,2,6400,1.395e-07,Gaussian
4,2,6400,1.387e-07,Gaussian
5,2,6400,1.477e-07,Gaussian
6,2,6400,1.296e-07,Gaussian
7,2,6400,1.304e-07,Gaussian
8,2,6400,1.3e-07,Gaussian
9,2,6400,1.45e-07,Gaussian
10,2,6400,1.304e-07,Gaussian
11,2,6400,1.322e-07,Gaussian
1,2,12800,3.09125e-05,Gaussian
2,2,12800,1.562e-07,Gaussian
3,2,12800,5.19173e-05,Gaussian
4,2,12800,9.87038e-05,Gaussian
5,2,12800,5.75143e-05,Gaussian
6,2,12800,6.04086e-05,Gaussian
7,2,12800,6.31579e-05,Gaussian
8,2,12800,5.9628e-05,Gaussian
9,2,12800,1.581e-07,Gaussian
10,2,12800,9.04425e-05,Gaussian
11,2,12800,8.51032e-05,Gaussian
1,2,25600,3.63612e-05,Gaussian
2,2,25600,4.8366e-05,Gaussian
3,2,25600,5.79086e-05,Gaussian
4,2,25600,6.98578e-05,Gaussian
5,2,25600,1.928e-07,Gaussian
6,2,25600,0.000120675,Gaussian
7,2,25600,0.000127089,Gaussian
8,2,25600,0.000145224,Gaussian
9,2,25600,2.088e-07,Gaussian
10,2,25600,0.000158943,Gaussian
11,2,25600,0.000164173,Gaussian
1,2,51200,5.269e-07,Gaussian
2,2,51200,4.59e-07,Gaussian
3,2,51200,1.911e-07,Gaussian
4,2,51200,1.848e-07,Gaussian
5,2,51200,1.803e-07,Gaussian
6,2,51200,1.889e-07,Gaussian
7,2,51200,1.674e-07,Gaussian
8,2,51200,2.047e-07,Gaussian
9,2,51200,2.116e-07,Gaussian
10,2,51200,4.663e-07,Gaussian
11,2,51200,0.000164563,Gaussian
1,2,102400,2.206e-07,Gaussian
2,2,102400,2.072e-07,Gaussian
3,2,102400,0.000142229,Gaussian
4,2,102400,0.000181646,Gaussian
5,2,102400,0.000173747,Gaussian
6,2,102400,2.128e-07,Gaussian
7,2,102400,2.05e-07,Gaussian
8,2,102400,2.155e-07,Gaussian
9,2,102400,2.01e-07,Gaussian
10,2,102400,2.006e-07,Gaussian
11,2,102400,5.483e-07,Gaussian
1,2,204800,0.000213418,Gaussian
2,2,204800,2.003e-07,Gaussian
3,2,204800,0.000248898,Gaussian
4,2,204800,0.000307822,Gaussian
5,2,204800,2.192e-07,Gaussian
6,2,204800,0.000278718,Gaussian
7,2,204800,1.959e-07,Gaussian
8,2,204800,2.192e-07,Gaussian
9,2,204800,2.299e-07,Gaussian
10,2,204800,0.00030177,Gaussian
11,2,204800,2.205e-07,Gaussian
1,2,409600,2.186e-07,Gaussian
2,2,409600,2.279e-07,Gaussian
3,2,409600,2.537e-07,Gaussian
4,2,409600,2.255e-07,Gaussian
5,2,409600,2.233e-07,Gaussian
6,2,409600,2.302e-07,Gaussian
7,2,409600,2.006e-07,Gaussian
8,2,409600,2.466e-07,Gaussian
9,2,409600,0.000950391,Gaussian
10,2,409600,0.00108111,Gaussian
11,2,409600,2.469e-07,Gaussian
1,2,819200,0.000465781,Gaussian
2,2,819200,0.000864002,Gaussian
3,2,819200,1.996e-07,Gaussian
4,2,819200,0.000772741,Gaussian
5,2,819200,2.348e-07,Gaussian
6,2,819200,2.785e-07,Gaussian
7,2,819200,0.00093909,Gaussian
8,2,819200,2.177e-07,Gaussian
9,2,819200,0.00120021,Gaussian
10,2,819200,0.000235501,Gaussian
11,2,819200,0.000893832,Gaussian
