K,Dimension,Number of Points,Time,Distribution
1,1,102400,8.6138e-06,Gaussian
2,1,102400,2.42276e-05,Gaussian
3,1,102400,0.000123467,Gaussian
4,1,102400,0.000593123,Gaussian
5,1,102400,0.00191964,Gaussian
6,1,102400,0.00432205,Gaussian
7,1,102400,0.009197,Gaussian
8,1,102400,0.0175086,Gaussian
9,1,102400,0.0261363,Gaussian
10,1,102400,0.0308308,Gaussian
11,1,102400,0.0367067,Gaussian
1,1,204800,7.074e-06,Gaussian
2,1,204800,2.95425e-05,Gaussian
3,1,204800,0.000157951,Gaussian
4,1,204800,0.000762538,Gaussian
5,1,204800,0.00251879,Gaussian
6,1,204800,0.00580204,Gaussian
7,1,204800,0.0126546,Gaussian
8,1,204800,0.0251226,Gaussian
9,1,204800,0.039484,Gaussian
10,1,204800,0.0485284,Gaussian
11,1,204800,0.0602691,Gaussian
1,1,409600,7.0323e-06,Gaussian
2,1,409600,2.97327e-05,Gaussian
3,1,409600,0.000171696,Gaussian
4,1,409600,0.000919943,Gaussian
5,1,409600,0.00333773,Gaussian
6,1,409600,0.00841909,Gaussian
7,1,409600,0.0198705,Gaussian
8,1,409600,0.0422865,Gaussian
9,1,409600,0.0702078,Gaussian
10,1,409600,0.0910681,Gaussian
11,1,409600,0.118571,Gaussian
1,1,819200,8.091e-06,Gaussian
2,1,819200,3.10874e-05,Gaussian
3,1,819200,0.00017073,Gaussian
4,1,819200,0.000918427,Gaussian
5,1,819200,0.0033607,Gaussian
6,1,819200,0.00877695,Gaussian
7,1,819200,0.0209986,Gaussian
8,1,819200,0.0468532,Gaussian
9,1,819200,0.0815182,Gaussian
10,1,819200,0.111066,Gaussian
11,1,819200,0.151227,Gaussian
1,2,50,6.5003e-06,Uniform
2,2,50,9.4464e-06,Uniform
3,2,50,1.22837e-05,Uniform
4,2,50,1.51663e-05,Uniform
5,2,50,1.79525e-05,Uniform
6,2,50,1.93624e-05,Uniform
7,2,50,2.05077e-05,Uniform
8,2,50,2.25236e-05,Uniform
9,2,50,2.44585e-05,Uniform
10,2,50,2.46326e-05,Uniform
11,2,50,2.6207e-05,Uniform
1,2,100,8.2092e-06,Uniform
2,2,100,1.2658e-05,Uniform
3,2,100,1.60746e-05,Uniform
4,2,100,1.9902e-05,Uniform
5,2,100,2.3298e-05,Uniform
6,2,100,2.54636e-05,Uniform
7,2,100,2.79169e-05,Uniform
8,2,100,3.15996e-05,Uniform
9,2,100,3.41696e-05,Uniform
10,2,100,3.50378e-05,Uniform
11,2,100,3.75708e-05,Uniform
1,2,200,9.4244e-06,Uniform
2,2,200,1.54507e-05,Uniform
3,2,200,2.20501e-05,Uniform
4,2,200,2.83617e-05,Uniform
5,2,200,3.42504e-05,Uniform
6,2,200,3.74941e-05,Uniform
7,2,200,4.13964e-05,Uniform
8,2,200,4.74227e-05,Uniform
9,2,200,5.22682e-05,Uniform
10,2,200,5.41564e-05,Uniform
11,2,200,5.69973e-05,Uniform
1,2,400,1.3928e-05,Uniform
2,2,400,1.99442e-05,Uniform
3,2,400,2.85938e-05,Uniform
4,2,400,4.25061e-05,Uniform
5,2,400,5.22193e-05,Uniform
6,2,400,5.8624e-05,Uniform
7,2,400,6.52633e-05,Uniform
8,2,400,7.60146e-05,Uniform
9,2,400,9.37911e-05,Uniform
10,2,400,8.86387e-05,Uniform
11,2,400,9.47063e-05,Uniform
1,2,800,1.84883e-05,Uniform
2,2,800,3.58467e-05,Uniform
3,2,800,5.20529e-05,Uniform
4,2,800,7.15437e-05,Uniform
5,2,800,8.81697e-05,Uniform
6,2,800,9.78058e-05,Uniform
7,2,800,0.000109543,Uniform
8,2,800,0.000128927,Uniform
9,2,800,0.00014415,Uniform
10,2,800,0.000149853,Uniform
11,2,800,0.000161239,Uniform
1,2,1600,2.98266e-05,Uniform
2,2,1600,5.41129e-05,Uniform
3,2,1600,7.79429e-05,Uniform
4,2,1600,0.000108131,Uniform
5,2,1600,0.000134621,Uniform
6,2,1600,0.000148064,Uniform
7,2,1600,0.000166017,Uniform
8,2,1600,0.00019326,Uniform
9,2,1600,0.000215774,Uniform
10,2,1600,0.00022508,Uniform
11,2,1600,0.000242162,Uniform
1,2,3200,2.43891e-05,Uniform
2,2,3200,4.39514e-05,Uniform
3,2,3200,7.15771e-05,Uniform
4,2,3200,0.000110371,Uniform
5,2,3200,0.00014348,Uniform
6,2,3200,0.000163943,Uniform
7,2,3200,0.00019816,Uniform
8,2,3200,0.000236034,Uniform
9,2,3200,0.000265657,Uniform
10,2,3200,0.000275231,Uniform
11,2,3200,0.000304187,Uniform
1,2,6400,3.40599e-05,Uniform
2,2,6400,6.34616e-05,Uniform
3,2,6400,0.000130479,Uniform
4,2,6400,0.000192563,Uniform
5,2,6400,0.000243397,Uniform
6,2,6400,0.000281109,Uniform
7,2,6400,0.000324746,Uniform
8,2,6400,0.000386494,Uniform
9,2,6400,0.000435119,Uniform
10,2,6400,0.000454083,Uniform
11,2,6400,0.00049817,Uniform
1,2,12800,4.20203e-05,Uniform
2,2,12800,7.9636e-05,Uniform
3,2,12800,0.000141188,Uniform
4,2,12800,0.000220528,Uniform
5,2,12800,0.000284178,Uniform
6,2,12800,0.000341748,Uniform
7,2,12800,0.000410323,Uniform
8,2,12800,0.000501261,Uniform
9,2,12800,0.000567141,Uniform
10,2,12800,0.000591212,Uniform
11,2,12800,0.000659798,Uniform
1,2,25600,6.19682e-05,Uniform
2,2,25600,0.000135855,Uniform
3,2,25600,0.00026217,Uniform
