K,Dimension,Number of Points,Time,Distribution
4,2,100,4.8749e-06,Uniform
5,2,100,7.7605e-06,Uniform
6,2,100,1.22055e-05,Uniform
7,2,100,1.2181e-05,Uniform
8,2,100,1.23585e-05,Uniform
9,2,100,1.23568e-05,Uniform
10,2,100,1.87608e-05,Uniform
11,2,100,2.07739e-05,Uniform
1,2,200,7.0786e-06,Uniform
2,2,200,7.0053e-06,Uniform
3,2,200,7.0143e-06,Uniform
4,2,200,7.0053e-06,Uniform
5,2,200,6.9683e-06,Uniform
6,2,200,6.9708e-06,Uniform
7,2,200,6.9868e-06,Uniform
8,2,200,6.9901e-06,Uniform
9,2,200,1.14336e-05,Uniform
10,2,200,1.13991e-05,Uniform
11,2,200,1.46689e-05,Uniform
1,2,400,1.2493e-05,Uniform
2,2,400,1.25069e-05,Uniform
3,2,400,1.24537e-05,Uniform
4,2,400,1.24303e-05,Uniform
5,2,400,1.23988e-05,Uniform
6,2,400,1.23798e-05,Uniform
7,2,400,1.23825e-05,Uniform
8,2,400,1.24251e-05,Uniform
9,2,400,1.24666e-05,Uniform
10,2,400,1.46944e-05,Uniform
11,2,400,1.24199e-05,Uniform
1,2,800,1.69569e-05,Uniform
2,2,800,1.68172e-05,Uniform
3,2,800,1.68061e-05,Uniform
4,2,800,1.67561e-05,Uniform
5,2,800,1.67961e-05,Uniform
6,2,800,1.67777e-05,Uniform
7,2,800,1.67494e-05,Uniform
8,2,800,1.67432e-05,Uniform
9,2,800,1.67474e-05,Uniform
10,2,800,1.67829e-05,Uniform
11,2,800,1.67529e-05,Uniform
1,2,1600,2.93058e-05,Uniform
2,2,1600,2.92692e-05,Uniform
3,2,1600,2.92204e-05,Uniform
4,2,1600,2.93461e-05,Uniform
5,2,1600,2.9378e-05,Uniform
6,2,1600,2.92409e-05,Uniform
7,2,1600,2.92732e-05,Uniform
8,2,1600,2.95129e-05,Uniform
9,2,1600,2.92912e-05,Uniform
10,2,1600,2.93147e-05,Uniform
11,2,1600,2.92995e-05,Uniform
1,2,3200,5.91334e-05,Uniform
2,2,3200,5.92586e-05,Uniform
3,2,3200,5.88819e-05,Uniform
4,2,3200,5.89183e-05,Uniform
5,2,3200,5.89794e-05,Uniform
6,2,3200,5.91267e-05,Uniform
7,2,3200,5.88404e-05,Uniform
8,2,3200,5.89262e-05,Uniform
9,2,3200,5.89116e-05,Uniform
10,2,3200,5.89232e-05,Uniform
11,2,3200,5.88304e-05,Uniform
1,2,6400,0.000141179,Uniform
2,2,6400,0.000132866,Uniform
3,2,6400,0.000134016,Uniform
4,2,6400,0.000132577,Uniform
5,2,6400,0.000146119,Uniform
6,2,6400,0.000132721,Uniform
7,2,6400,0.00013328,Uniform
8,2,6400,0.00013341,Uniform
9,2,6400,0.000132618,Uniform
10,2,6400,0.000132613,Uniform
11,2,6400,0.000132675,Uniform
1,2,12800,0.000463988,Uniform
2,2,12800,0.000242687,Uniform
3,2,12800,0.000265875,Uniform
4,2,12800,0.000259871,Uniform
5,2,12800,0.000236453,Uniform
6,2,12800,0.000304327,Uniform
7,2,12800,0.00025226,Uniform
8,2,12800,0.0002402,Uniform
9,2,12800,0.000236756,Uniform
10,2,12800,0.000237501,Uniform
11,2,12800,0.000240762,Uniform
1,2,25600,0.000458944,Uniform
2,2,25600,0.000455372,Uniform
3,2,25600,0.000460616,Uniform
4,2,25600,0.000454845,Uniform
5,2,25600,0.00046414,Uniform
6,2,25600,0.000456972,Uniform
7,2,25600,0.000456252,Uniform
8,2,25600,0.000459643,Uniform
9,2,25600,0.000455802,Uniform
10,2,25600,0.00046284,Uniform
11,2,25600,0.000458158,Uniform
1,2,51200,0.000852097,Uniform
2,2,51200,0.000856043,Uniform
3,2,51200,0.000856545,Uniform
4,2,51200,0.000863877,Uniform
5,2,51200,0.000856644,Uniform
6,2,51200,0.00084984,Uniform
7,2,51200,0.000871486,Uniform
8,2,51200,0.000925482,Uniform
9,2,51200,0.00115082,Uniform
10,2,51200,0.000910173,Uniform
11,2,51200,0.000857756,Uniform
1,2,102400,0.00196133,Uniform
2,2,102400,0.00200425,Uniform
3,2,102400,0.00209526,Uniform
4,2,102400,0.00196202,Uniform
5,2,102400,0.00195839,Uniform
6,2,102400,0.00195827,Uniform
7,2,102400,0.00195651,Uniform
8,2,102400,0.00195333,Uniform
9,2,102400,0.00204528,Uniform
10,2,102400,0.00198137,Uniform
11,2,102400,0.00198584,Uniform
1,2,204800,0.00416415,Uniform
2,2,204800,0.00413681,Uniform
3,2,204800,0.00422089,Uniform
4,2,204800,0.00411753,Uniform
5,2,204800,0.00413677,Uniform
6,2,204800,0.00435399,Uniform
7,2,204800,0.00411237,Uniform
8,2,204800,0.00411787,Uniform
9,2,204800,0.00411151,Uniform
10,2,204800,0.00410295,Uniform
11,2,204800,0.00411928,Uniform
1,2,409600,0.008425,Uniform
2,2,409600,0.00858878,Uniform
3,2,409600,0.00888624,Uniform
4,2,409600,0.00841879,Uniform
5,2,409600,0.00845139,Uniform
6,2,409600,0.00854791,Uniform
7,2,409600,0.00931338,Uniform
8,2,409600,0.00842483,Uniform
9,2,409600,0.00843781,Uniform
10,2,409600,0.00990697,Uniform
11,2,409600,0.00880754,Uniform
1,2,819200,0.0154633,Uniform
2,2,819200,0.0152939,Uniform
3,2,819200,0.0151441,Uniform
4,2,819200,0.0150038,Uniform
5,2,819200,0.0153017,Uniform
6,2,819200,0.0153164,Uniform
7,2,819200,0.0150203,Uniform
8,2,819200,0.0149944,Uniform
9,2,819200,0.0152244,Uniform
10,2,819200,0.0152234,Uniform
11,2,819200,0.0153071,Uniform
1,2,50,4.7445e-06,Gaussian
2,2,50,5.7676e-06,Gaussian
3,2,50,1.25431e-05,Gaussian
4,2,50,1.30942e-05,Gaussian
5,2,50,1.23675e-05,Gaussian
6,2,50,1.46776e-05,Gaussian
7,2,50,1.26305e-05,Gaussian
8,2,50,1.41417e-05,Gaussian
9,2,50,1.29143e-05,Gaussian
10,2,50,2.15299e-05,Gaussian
11,2,50,2.15857e-05,Gaussian
1,2,100,7.0162e-06,Gaussian
2,2,100,6.9363e-06,Gaussian
3,2,100,6.9337e-06,Gaussian
4,2,100,9.1192e-06,Gaussian
5,2,100,9.1125e-06,Gaussian
6,2,100,9.0854e-06,Gaussian
7,2,100,9.1286e-06,Gaussian
8,2,100,9.1689e-06,Gaussian
9,2,100,9.1616e-06,Gaussian
10,2,100,9.1797e-06,Gaussian
11,2,100,1.84854e-05,Gaussian
1,2,200,1.20912e-05,Gaussian
2,2,200,1.19888e-05,Gaussian
3,2,200,1.19703e-05,Gaussian
4,2,200,1.20039e-05,Gaussian
5,2,200,1.19687e-05,Gaussian
6,2,200,1.19262e-05,Gaussian
7,2,200,1.19507e-05,Gaussian
8,2,200,1.19613e-05,Gaussian
9,2,200,1.19882e-05,Gaussian
10,2,200,1.19746e-05,Gaussian
11,2,200,1.8019e-05,Gaussian
1,2,400,2.80163e-05,Gaussian
2,2,400,2.79898e-05,Gaussian
3,2,400,2.79701e-05,Gaussian
4,2,400,2.79579e-05,Gaussian
5,2,400,2.98698e-05,Gaussian
6,2,400,4.10552e-05,Gaussian
7,2,400,3.59224e-05,Gaussian
8,2,400,3.06446e-05,Gaussian
9,2,400,2.81345e-05,Gaussian
10,2,400,2.80272e-05,Gaussian
11,2,400,2.80099e-05,Gaussian
1,2,800,4.51751e-05,Gaussian
2,2,800,4.50698e-05,Gaussian
3,2,800,4.50754e-05,Gaussian
4,2,800,5.50808e-05,Gaussian
5,2,800,4.5245e-05,Gaussian
6,2,800,4.5208e-05,Gaussian
7,2,800,4.51349e-05,Gaussian
8,2,800,5.77351e-05,Gaussian
9,2,800,5.28823e-05,Gaussian
10,2,800,4.53361e-05,Gaussian
11,2,800,4.51514e-05,Gaussian
1,2,1600,0.000100917,Gaussian
2,2,1600,0.000100884,Gaussian
3,2,1600,0.000100838,Gaussian
4,2,1600,0.00013525,Gaussian
5,2,1600,0.000101009,Gaussian
6,2,1600,0.000100814,Gaussian
7,2,1600,0.000101372,Gaussian
8,2,1600,0.000100907,Gaussian
9,2,1600,0.000115493,Gaussian
10,2,1600,0.000107801,Gaussian
11,2,1600,0.000100741,Gaussian
1,2,3200,0.000211038,Gaussian
2,2,3200,0.000226301,Gaussian
3,2,3200,0.00021093,Gaussian
4,2,3200,0.0002211,Gaussian
5,2,3200,0.000211509,Gaussian
6,2,3200,0.000210975,Gaussian
7,2,3200,0.000221395,Gaussian
8,2,3200,0.000214016,Gaussian
9,2,3200,0.000234332,Gaussian
